Case_No,Length(mm),Weight(gms),Variety
1,67.201,133.91,Local
2,56.202,109.75,Local
3,101.779,169.08,Local
4,55.93,129.5,Local
5,58.905,133.62,Local
6,82.382,121.17,Local
7,42.092,117.17,Local
8,41.48,86.33,Local
9,41.344,82.18,Local
10,35.326,77.96,Local
11,58.157,90.17,Local
12,118.082,95.18,Non Local
13,90.406,93.88,Non Local
14,97.461,84.96,Local
15,142.715,181.94,Non Local
16,113.288,119.67,Non Local
17,126.208,120.69,Local
18,111.078,121.46,Non Local
19,90.729,87.15,Non Local
20,80.325,133.02,Non Local
21,57.273,143.71,Non Local
22,95.489,123.54,Non Local
23,92.191,108.79,Non Local
24,71.774,80,Non Local
25,68.782,87.69,Non Local
26,49.028,66.37,Non Local
27,80.648,88.64,Non Local
28,110.483,94.44,Local
